alpha,net_h1,net_h4,net_h12,net_h24,net_h72,net_h168
ts_mom_24,-455.8419507467642,-189.81396706066585,-106.71879934132396,-86.12123046977382,-21.428226055554838,2.8625861004508537
ts_mom_168,-158.4027337097103,-27.594761363680604,23.549557074795697,40.12436842019156,52.769522721188174,20.632599240097374
ts_mom_720,-103.0705382934378,-35.11514434510307,-11.38677807328004,0.2629933568679098,3.9485201319643815,-11.795782274146383
xs_mom_168,-147.81190151582106,-47.475795899650755,-4.499844066105678,14.393670031218678,20.54433692740041,-8.349094037031485
xs_mom_720,-111.39296478540389,-44.39724044341591,-22.711641235888766,-12.284379294288392,-21.04992337171478,-36.87337723289447
xs_rev_6,-823.2385015156559,-591.134019858981,-428.4336980508595,-290.3408758967331,-213.4568597312919,-175.9232439497603
xs_rev_24,-426.00144032493625,-284.1016375511323,-193.31738889984368,-162.20470149470856,-130.47068582231884,-114.85499527878646
xs_rev_72,-313.0947121246445,-229.95803690350104,-172.89570419580053,-151.13399679235857,-127.06784173290379,-108.38276724815205
carry,-206.7556720144457,-172.4433600938046,-127.08734957181728,-89.38440459757,-48.51962071719811,-50.97594558295549
carry_chg,-174.4623375226541,-149.43371867287755,-121.86176836097036,-95.6119068435348,-60.177608896469295,-60.48595572363929
ofi_24,-390.11430983981256,-128.96501193808365,-23.524704151422252,19.624749279283332,63.46336989409502,35.60510562728245
ofi_6,-1075.9953590477703,-501.3338998735256,-162.36922905469388,-33.643388898017726,46.13059458032475,47.50758995244472
vol_shock,-1188.4681942310808,-461.7203261308778,-178.20520974652715,-100.66542039386816,-33.48885487749122,-55.23539282402678
low_vol,-45.15053658812594,-24.417266089261638,-22.14034009108694,-16.867746511295,-16.789160195522513,17.468703491422467
range_pos,-241.04915955066778,-24.56690461606436,33.86183535515081,37.80567935521411,36.28327849405761,42.57747416614551
intraday_rev,-819.8090822183594,-594.6354772238344,-430.94871584832816,-292.869510355023,-210.6280148699779,-175.4786337872802
illiq,-75.48479124537313,-69.65228787196676,-74.38128531665237,-76.9685076628226,-87.23966980549181,-50.98314067950489
idio_mom,-156.7130413651253,-26.77111307054697,16.24489354905486,33.89479678874635,41.50604428521408,14.236574121372044
wick_rev,-1431.2459365090601,-971.8409866382614,-608.9012592624262,-422.04025891488067,-278.12188766519915,-193.8171594933618
fund_extreme,-365.43367759984164,-328.9142424712547,-274.2198551027315,-227.7341569527539,-155.77208468094244,-143.537335774244
vol_of_vol,-56.108731342192556,-35.339749261734084,-21.91059017683464,-24.3911219841509,-25.086491609375877,-9.87892225374539
mom_accel,-273.939333269356,-125.57979383229258,-71.84924480494952,-48.33201631754772,-15.403276757417867,-30.59392376257946
dv_trend,-100.87253791730676,-76.7800999039424,-48.05700844269817,-30.83085758715468,-24.37657609854936,-54.284449956354045
resid_rev_24,-451.6868370361762,-311.89293043657165,-218.71815280418573,-179.89349129053903,-151.60017353564268,-129.1385902901301
resid_rev_72,-332.00268044943397,-247.6103084542658,-187.6073577001266,-167.31862981119633,-150.47827694036408,-131.90079464369717
