label,gross_sr,net_sr,turn_yr,bp_bar,cost_bar_bp
trailing SR|rebal=8h|band=0.005,1.0281142178773572,0.6856188828150267,196.18382,0.4033639,0.13437247
trailing SR|rebal=1h|band=0.005,1.0268046206163535,0.6378012365520439,228.11165,0.41240987,0.15624085
trailing SR|rebal=8h|band=0.0,1.0300193401974114,0.6041132765518022,244.34334,0.4047429,0.16735847
trailing SR|rebal=8h|band=0.015,0.843539280056971,0.5977866508860493,139.96623,0.3290618,0.09586727
trailing SR|rebal=1h|band=0.015,0.8436614882145806,0.5685086881852836,159.433,0.33482632,0.10920068
trailing SR|rebal=24h|band=0.005,0.8389557768104753,0.5378910991862129,166.7447,0.31825733,0.114208706
trailing SR|rebal=24h|band=0.0,0.8389714668735064,0.5066533604458342,184.38945,0.31884265,0.12629415
sign(trailing)|rebal=8h|band=0.015,0.7948815180856846,0.501056453461557,166.14949,0.30786458,0.11380102
trailing SR|rebal=24h|band=0.015,0.7178142384024091,0.49327723304367455,123.64633,0.27074003,0.08468927
trailing SR|rebal=1h|band=0.0,1.0847760040029564,0.468989930725064,364.49768,0.43979686,0.24965595
sign(trailing)|rebal=1h|band=0.015,0.8250003374143972,0.44623036112709913,220.32132,0.32868677,0.15090501
EW|rebal=1h|band=0.015,0.7366691178975194,0.42904150482485104,150.71886,0.2472076,0.103232086
EW|rebal=8h|band=0.005,0.8226213751908009,0.4260264412958651,193.41275,0.27477995,0.13247448
sign(trailing)|rebal=8h|band=0.005,0.8414185065372547,0.42329292723127226,238.718,0.32903165,0.16350548
sign(trailing)|rebal=1h|band=0.005,1.0180595024848675,0.4000297501935145,359.91605,0.40608048,0.24651782
EW|rebal=8h|band=0.015,0.6407096076524177,0.3540834926150689,138.74828,0.21243213,0.095033064
EW|rebal=24h|band=0.005,0.68295471011233,0.3419292724549718,165.76425,0.22737524,0.11353716
sign(trailing)|rebal=8h|band=0.0,0.8466646534457679,0.33673577442463,291.73584,0.33177125,0.19981907
EW|rebal=24h|band=0.0,0.7147341046953523,0.33668447663521966,183.6224,0.23777626,0.12576877
sign(trailing)|rebal=24h|band=0.005,0.6620177592529803,0.3286174307277316,187.33371,0.2547808,0.12831075
EW|rebal=1h|band=0.005,0.762384782537578,0.3208322393691955,214.24976,0.25337237,0.1467464
sign(trailing)|rebal=24h|band=0.0,0.6787184802609246,0.3139605583471423,204.82903,0.26104993,0.14029385
trailing SR|rebal=72h|band=0.015,0.486337343830944,0.29990332966714933,97.76621,0.17468208,0.06696316
EW|rebal=8h|band=0.0,0.7948164914911221,0.29604701725864097,243.7955,0.2660969,0.1669832
EW|rebal=72h|band=0.015,0.49780085254960127,0.28311526730833136,99.80929,0.1585152,0.06836253
sign(trailing)|rebal=24h|band=0.015,0.5132532111258721,0.2637123251948398,139.01318,0.19583626,0.09521451
EW|rebal=24h|band=0.015,0.5029114983304367,0.24554392954085258,123.46778,0.16524887,0.08456697
EW|rebal=72h|band=0.0,0.4705532275885803,0.19852800191525538,128.01189,0.15166909,0.08767938
trailing SR|rebal=72h|band=0.0,0.4337036763040449,0.19664990137042151,125.39372,0.15713362,0.085886106
trailing SR|rebal=72h|band=0.005,0.41588473322056907,0.18734432111240865,120.95383,0.15075675,0.08284509
EW|rebal=72h|band=0.005,0.4416048869619949,0.1790513274013943,123.61522,0.1424082,0.08466795
EW|rebal=1h|band=0.0,0.7948751548934554,0.11716419459667542,330.91193,0.2658361,0.226652
sign(trailing)|rebal=1h|band=0.0,1.0510897001760346,0.11479540912229522,546.7474,0.42039865,0.37448454
sign(trailing)|rebal=72h|band=0.0,0.29221994938428236,0.046503701547014276,131.7518,0.10731976,0.090240955
sign(trailing)|rebal=72h|band=0.005,0.27699459551161704,0.038864313367958724,127.4216,0.1015189,0.08727507
sign(trailing)|rebal=72h|band=0.015,0.18761867929791243,-0.007969888052335143,103.99699,0.068328284,0.071230814
EW|rebal=168h|band=0.005,0.06703810967465845,-0.08215013008161616,70.0094,0.021547195,0.04795165
EW|rebal=168h|band=0.0,0.06033524392453147,-0.09224689266385408,71.61854,0.019397242,0.049053792
EW|rebal=168h|band=0.015,-0.052171524347429325,-0.1775457242071489,58.889412,-0.016784549,0.040335212
trailing SR|rebal=168h|band=0.015,-0.14900889906706494,-0.26076244080269595,57.163506,-0.05220557,0.039153084
trailing SR|rebal=168h|band=0.005,-0.3266481316915289,-0.46045872045290315,68.403656,-0.11437104,0.046851818
trailing SR|rebal=168h|band=0.0,-0.3270733977749369,-0.46419735738867757,70.064674,-0.11446642,0.047989503
sign(trailing)|rebal=168h|band=0.005,-0.5345923070174129,-0.6706126886144512,70.48379,-0.18973835,0.048276566
sign(trailing)|rebal=168h|band=0.0,-0.556951431340015,-0.6959812977769615,72.099594,-0.1978286,0.049383283
sign(trailing)|rebal=168h|band=0.015,-0.6068824855097911,-0.7218321584601388,59.506943,-0.21518485,0.04075818
