alpha,IC,t,n
ts_mom_24,-0.026165920474319326,-28.531742850438217,51248
ts_mom_168,-0.02265407926188498,-24.65800550431266,51248
ts_mom_720,-0.017891056850404825,-20.033481901122375,51248
xs_mom_168,-0.018907468203630772,-18.91096369929622,51248
xs_mom_720,-0.010949940128417528,-11.441361950260813,51248
xs_rev_6,0.036968037985779335,38.542905799667224,51248
xs_rev_24,0.03117968045410979,31.87390382977694,51248
xs_rev_72,0.026442825898808753,26.719412499819178,51248
carry,-0.008897953439307086,-11.199625523519774,51248
carry_chg,-0.0058767798509009525,-7.553031925460483,51248
ofi_24,-0.008026463711437292,-10.400721709801084,51248
ofi_6,-0.011890865457394267,-15.925501230047583,51248
vol_shock,-0.023157938251517664,-26.6454030628554,51248
low_vol,0.04068437776581175,34.95761686332381,51248
range_pos,-0.020658263914084755,-22.847521833665162,51248
intraday_rev,0.03697115180793767,38.550816053433635,51248
illiq,0.030863873156985053,32.800767131546465,51248
idio_mom,-0.025141239311074825,-26.943163603250408,51248
wick_rev,0.004068371587470565,5.168214236844972,51248
fund_extreme,-0.004137223371176865,-5.493281019555953,51248
vol_of_vol,0.008751922596038748,10.110296595121252,51248
mom_accel,-0.020321531041625693,-20.99232427191958,51248
dv_trend,-0.019517439473830923,-21.607612667375875,51248
resid_rev_24,0.028106634022471245,30.389135831884854,51248
resid_rev_72,0.025607556099072986,27.633598924891565,51248
