,h1,h2,h3,h4,h6,h8,h12,h24,h48,h72,h168
ts_mom_24,-0.026165920474319333,-0.026900183690017385,-0.027418766218791704,-0.027247693767405882,-0.027276192806611633,-0.027193413303323127,-0.028506016291940103,-0.029393010004023754,-0.029512492096925906,-0.02642630988034219,-0.02035508899579178
ts_mom_168,-0.02265407926188498,-0.026637488526079747,-0.029747526687035345,-0.03154722639843135,-0.03506383983119933,-0.03799660573072139,-0.04312237903343803,-0.04923490007242008,-0.04775886335204635,-0.04721388676893497,-0.049706310722274674
ts_mom_720,-0.017891056850404825,-0.02092641420193471,-0.02340459764396097,-0.02515737866304047,-0.028429725785445913,-0.03129657305397693,-0.035995743162610026,-0.04212871755886614,-0.041565957354833774,-0.04236678014423778,-0.044225768011505046
xs_mom_168,-0.018907468203630772,-0.024223760374798738,-0.028809148492956734,-0.031936463915104706,-0.037595409104162335,-0.042072102766110495,-0.049270093886749904,-0.05673488714530296,-0.0588255437632818,-0.060196897032426255,-0.06312515416776676
xs_mom_720,-0.01094994012841753,-0.0133187291962849,-0.015369637009451868,-0.01695987670075927,-0.020090925803540945,-0.022773770503986934,-0.02663845305848871,-0.03191367714828009,-0.03331545648908266,-0.03496628390047537,-0.03969791690447268
xs_rev_6,0.036968037985779335,0.03640745913883689,0.03357671874397723,0.03057028570090423,0.026769843134605873,0.023224957191051807,0.018116593441313614,0.013680570765173969,0.007467138477257954,0.004886660535816718,-0.001730693969499791
xs_rev_24,0.03117968045410979,0.033482429670038456,0.03491748208442842,0.035575219932517395,0.03656223009699028,0.03701804861028649,0.038567979766349396,0.038678555883832746,0.035595493700044244,0.03221305603894875,0.024839920706578995
xs_rev_72,0.026442825898808753,0.031203221978731457,0.03479941127618496,0.03706002697006673,0.041308893545948515,0.04490242980564966,0.050184337456094325,0.05623234826463189,0.05614306459732906,0.055368791082778854,0.05104266469617143
carry,-0.008897953439307084,-0.011781719193038054,-0.013955089322481662,-0.01564051513264145,-0.017706598206374817,-0.019677402786932124,-0.022883531774170247,-0.026357989938173346,-0.021210971419192936,-0.020258257475101505,-0.024777616828729518
carry_chg,-0.0058767798509009525,-0.00812323341194369,-0.008885627603964386,-0.009802013921853403,-0.010899703239272328,-0.012054471114802238,-0.014026322356785375,-0.015537808816872748,-0.013045526774594352,-0.013077240340559819,-0.015997391330543106
ofi_24,-0.008026463711437292,-0.0070110869861282924,-0.005886930312127361,-0.004992782471164012,-0.004447563464867831,-0.003969294036522719,-0.00327588791441978,-0.0005777664046286707,0.0031434629799360144,0.0081512557917205,0.014563837082236417
ofi_6,-0.011890865457394267,-0.01051382218220816,-0.008574962735977876,-0.006793636077845278,-0.0060129092009087795,-0.004853467445640836,-0.0036592415940740215,-0.0009332585859230405,0.00340480047462244,0.005379355228121503,0.010945123244880237
vol_shock,-0.023157938251517664,-0.02697873764287845,-0.02901184963602733,-0.03080206556875291,-0.03218279911755493,-0.03386412593602548,-0.03733366149494537,-0.04296551668689326,-0.04041608168715332,-0.04016783730505856,-0.036266419465998935
low_vol,0.04068437776581175,0.050509249903201485,0.05846465336842967,0.0647415693219968,0.07460440619463338,0.08317250179451274,0.09622511622562142,0.11673349609194551,0.12702494719236254,0.13829352936122935,0.16148771838399453
range_pos,-0.020658263914084755,-0.02077564105890451,-0.020761724935321243,-0.02015932589099588,-0.019626062566698396,-0.019321124673601576,-0.019032795636774614,-0.019049577541016407,-0.015854087142147446,-0.01285916515979628,-0.009142887663288666
intraday_rev,0.03697115180793767,0.036397346575746184,0.03354753513123095,0.030565212534680003,0.026811116126117973,0.023320494373126676,0.018229797776722876,0.0138456122559406,0.007635801303581216,0.0050037242789581025,-0.001656263016368772
illiq,0.030863873156985053,0.038832056332262235,0.045361785816984815,0.05017182330077396,0.057756211702750776,0.06398766687836072,0.07321450194279701,0.08664175035560873,0.0906034441655863,0.0973168934277429,0.11300982691338478
idio_mom,-0.025141239311074825,-0.029993816498706617,-0.03399287653785585,-0.036401376659773485,-0.04095375976105864,-0.04478222590688142,-0.050954684494523075,-0.0584611354557832,-0.05807091024686242,-0.05919386857719414,-0.0610058195600157
wick_rev,0.0040683715874705656,0.007865001221133806,0.009570014591334544,0.010311152097061401,0.011449912621751428,0.011997677455173739,0.012828845746749258,0.016313509686163397,0.016980196337257454,0.016980292951653465,0.017722267816267602
fund_extreme,-0.004137223371176865,-0.005588286972123039,-0.0065687014929657495,-0.007649352503068293,-0.008796397932717808,-0.010478592920301651,-0.013289913643168836,-0.017374465891320624,-0.015930411233080383,-0.018046793021076594,-0.019472670708917943
vol_of_vol,0.00875192259603875,0.01278812971222815,0.015664530884678705,0.01772938896522689,0.020960749941358433,0.023969127280334453,0.027899522654158283,0.033645672640177836,0.03631399247063561,0.04089423359275338,0.045954696340543756
mom_accel,-0.020321531041625693,-0.024263543042374894,-0.02698001998064222,-0.028921674763162323,-0.03186663889556054,-0.034610085493928286,-0.03852978450034878,-0.04270586070313903,-0.042234351571085745,-0.04201783612753223,-0.03941805488847577
dv_trend,-0.019517439473830923,-0.02511028447520797,-0.029587741614165566,-0.0328092077884319,-0.03814049695921512,-0.042734719141835756,-0.04974942774857638,-0.057714593676053916,-0.0543865968819295,-0.05338751641508598,-0.051886623976795776
resid_rev_24,0.028106634022471245,0.029574784566935398,0.030439271687112954,0.03075586508288588,0.03119637447112255,0.031157611719086015,0.032602349015391635,0.032892632551578746,0.03099120231882536,0.0276785481723085,0.021403361546119003
resid_rev_72,0.025607556099072986,0.029932404916051134,0.03312438691850656,0.03505278041936371,0.03898049643447146,0.04218216692300883,0.04702355683861676,0.05166320075612023,0.05117001160208444,0.05049166023839752,0.047274713181079606
