cap,min_sr,rebal,band,gross_sr,net_sr,turn_yr,net_bp
0.1,0.3,8,0.03,1.2707431734163104,0.9902308221895914,137.54207,0.38798416
0.05,0.3,8,0.03,1.2707139724656689,0.9902017084059668,137.54196,0.38797247
0.05,0.6,8,0.03,1.12096661622369,0.8402192627195705,138.64658,0.3315737
0.1,0.6,8,0.03,1.1156359173088422,0.8349481860442411,138.51753,0.3292567
0.05,0.3,8,0.015,1.250253520103875,0.7761350307760149,234.55737,0.3068269
0.1,0.3,8,0.015,1.2488483877924148,0.7747527362229667,234.54683,0.30628136
0.1,0.6,8,0.015,1.2109290792937109,0.731922002160415,237.4916,0.289978
0.05,0.6,8,0.015,1.204297151151476,0.7253678269972014,237.4148,0.28733507
0.1,0.6,8,0.005,1.3777910691230986,0.6434050733141599,367.34692,0.25717598
0.05,0.6,8,0.005,1.3775356697637575,0.6431943470509492,367.3374,0.25710076
0.1,0.3,8,0.005,1.3640992227859445,0.6355592572954116,363.08264,0.2531058
0.05,0.3,8,0.005,1.3638470486062266,0.635315320398785,363.07986,0.2530096
0.1,0.3,24,0.03,0.765009032746562,0.550769982340809,102.52482,0.21061754
0.05,0.3,24,0.03,0.7649838414786952,0.5507448346564506,102.524734,0.21060787
0.1,0.6,24,0.03,0.7450673113019826,0.5276571248235917,103.37044,0.20047595
0.05,0.6,24,0.03,0.7444679508941909,0.5271910863680569,103.370735,0.20042229
0.1,0.3,72,0.03,0.44474464290857035,0.3056128564371838,60.672268,0.10649503
0.05,0.3,72,0.03,0.4447423765661325,0.30561063367825436,60.672268,0.10649428
0.05,0.6,72,0.03,0.4317413288374352,0.292796798909975,61.1245,0.10292812
0.1,0.6,72,0.03,0.42597187474332326,0.28701280971580506,61.133663,0.10089941
0.1,0.6,24,0.015,0.5856641159365735,0.2203573686930126,174.7514,0.08423343
0.05,0.6,24,0.015,0.5826898465714688,0.21735860539617577,174.74974,0.08308076
0.1,0.6,24,0.005,0.6986074220768075,0.1976102203949474,242.02419,0.07628283
0.05,0.6,24,0.005,0.6981111366664291,0.19714163230416998,242.00949,0.076101534
0.05,0.3,24,0.015,0.5343682006171173,0.1718866017646022,174.42162,0.066092215
0.1,0.3,24,0.015,0.5341904234862722,0.17170881373788,174.42198,0.06602398
0.1,0.3,24,0.005,0.6498227885125105,0.15026325423114623,241.17633,0.057968773
0.05,0.3,24,0.005,0.6494989630449501,0.14993388276213931,241.17857,0.057841606
0.05,0.6,72,0.005,0.40044444727613066,0.12580323046866732,126.14043,0.046171535
0.1,0.6,72,0.005,0.4000076533547456,0.1253553772320207,126.144455,0.04600678
0.05,0.3,72,0.005,0.3535859868664548,0.0776098834672272,126.4243,0.028409922
0.1,0.3,72,0.005,0.353584657569448,0.07760853782640474,126.42432,0.02840943
0.05,0.6,72,0.015,0.2595151679587329,0.03731216298672081,101.771225,0.013655872
0.1,0.6,72,0.015,0.25803849331820133,0.03582416208193857,101.77744,0.013111412
0.05,0.3,72,0.015,0.2518781169453164,0.025515379351083813,101.98142,0.009185696
0.1,0.3,72,0.015,0.2518778990277743,0.02551512602194112,101.98144,0.009185606
