cap,min_sr,rebal,band,gross_sr,net_sr,turn_yr,net_bp
0.05,0.3,8,0.08,1.1118584474670654,0.9949597200201762,41.110996,0.2796069
0.05,0.3,8,0.03,1.2707139724656689,0.9902017084059668,137.54196,0.38797247
0.05,0.3,4,0.03,1.3007336828962344,0.9783392362512331,157.0852,0.38091776
0.05,0.3,4,0.08,1.0296592532508455,0.8790094568835225,53.4456,0.24919027
0.05,0.3,1,0.08,1.0538059115877847,0.8622843726943714,68.42966,0.24619046
0.05,0.3,16,0.08,0.9492407068546324,0.8506480989483374,32.019783,0.2207588
0.05,0.3,1,0.03,1.1444901175572404,0.7720837693343439,184.54059,0.30572662
0.05,0.3,16,0.12,0.8453517438381244,0.7650973329346208,24.973064,0.19024515
0.05,0.3,4,0.05,0.949901607176313,0.7593688909219322,88.397575,0.2815253
0.05,0.3,8,0.12,0.88074015800288,0.7584597389362914,31.982616,0.15851985
0.05,0.3,16,0.03,0.9758379787030103,0.7335251779341356,115.60501,0.27964634
0.05,0.3,8,0.05,0.8656776103259175,0.702305177681684,73.29873,0.2517893
0.05,0.3,16,0.05,0.7617475044774611,0.6319998793297685,59.139877,0.23019287
0.05,0.3,4,0.12,0.7585945863113428,0.6091775930631873,40.38668,0.13157584
0.05,0.3,1,0.05,0.8396826625639037,0.5918846593428323,109.69391,0.2093706
0.05,0.3,16,0.2,0.5520511631543228,0.4787276196773068,17.981098,0.093811296
0.05,0.3,1,0.12,0.640513089612952,0.4301563709702341,52.628048,0.08599658
0.05,0.3,4,0.2,0.2580186846136244,0.15912769311280917,26.867783,0.034547355
0.05,0.3,1,0.2,0.2594086716559087,0.12706987618212304,33.363815,0.02559912
0.05,0.3,8,0.2,-0.26826370739563005,-0.33788411270447966,23.451832,-0.09094983
