sym,tick,px,tick_bp,adv_hr,ladv
0GUSDT,9.999999999998899e-05,0.583,1.7152658662090736,2879477.8050077143,6.459313735340374
1000000BOBUSDT,9.999999999999593e-06,0.0186,5.3763440860212866,385855.5758363457,5.586424780437885
1000000MOGUSDT,9.999999999998899e-05,0.44545,2.244920866539207,616828.9114464623,5.790164721377854
1000BONKUSDT,1.0000000000001327e-06,0.0159895,0.6254104255918777,8190959.770838432,6.913334792939608
1000BTTCUSDT,9.99999999999699e-07,0.001989,5.027652086474103,380567.8268145938,5.580432070268675
1000CATUSDT,9.999999999999159e-07,0.005741,1.7418568193693014,942899.0436001816,5.974465195224596
1000CHEEMSUSDT,1.0000000000000243e-07,0.000954,1.0482180293501302,592517.8775042803,5.7727014584531595
1000FLOKIUSDT,9.999999999999593e-06,0.057645,1.7347558331164181,4000616.6337216697,6.602126936323696
1000LUNCUSDT,9.999999999996123e-06,0.08086,1.236705416769246,2988409.88928382,6.475440164912277
1000PEPEUSDT,1.9999999999989644e-07,0.00610145,0.3277909349415245,32412807.80847565,7.5107166540778385
1000RATSUSDT,9.999999999999593e-06,0.04399,2.273243919072424,2124131.098405895,6.327181317285724
1000SATSUSDT,9.999999999999904e-09,5.03e-05,1.9880715705765215,4661833.638645204,6.668556771306497
1000SHIBUSDT,9.999999999992654e-07,0.011179,0.8945343948468247,16421716.259484379,7.215418543957158
1000WHYUSDT,9.999999999999565e-08,2.59e-05,38.61003861003693,161432.11874244132,5.207989946773047
1000XECUSDT,4.999999999999796e-06,0.03075,1.6260162601625354,772084.4407315811,5.887664800514926
1000XUSDT,9.999999999996123e-06,0.04116,2.4295432458688344,481898.88525049447,5.682955921673446
1INCHUSDT,7.999999999999674e-05,0.4044,1.978239366963322,1918799.2007752047,6.283029528900077
1MBABYDOGEUSDT,1.0000000000000243e-07,0.0011621,0.8605111436193308,2409200.071244356,6.381872867341408
2ZUSDT,9.999999999996123e-06,0.08529500000000001,1.1724016648099094,817743.9673673939,5.912617348946556
42USDT,9.999999999996123e-06,0.0298,3.355704697985276,151558.0484072806,5.180579004287002
4USDT,2.0000000000002655e-06,0.011329,1.7653808809252938,1583351.4719399363,6.199577330137816
A2ZUSDT,5.719999999999509e-07,0.0011629,4.918737638661543,431987.82998599316,5.635471511989965
AAOIUSDT,0.009999999999990905,127.11,0.7867201636370785,1435114.560140916,6.156886570652726
AAPLUSDT,0.009999999999990905,305.6,0.3272251308897547,662276.8287962701,5.82103956057013
AAVEUSDT,0.00999999999999801,117.51,0.8509914049866403,6251783.115221427,6.796003903208896
